persona_id,condition,step,g_disp,g_cos_pre,p_new,p_old,alpha
292,sustained_new,1,0.7361181974411011,0.9904082417488098,0.2213020771741867,0.1744285225868225,0.10927660018205643
292,sustained_new,2,1.3749780654907227,0.9664136171340942,0.2194974273443222,0.17452530562877655,0.10876680910587311
292,sustained_new,3,1.9383536577224731,0.9334648847579956,0.2179817259311676,0.17448431253433228,0.10863344371318817
292,sustained_new,4,2.437893867492676,0.8955354690551758,0.21694017946720123,0.1744689643383026,0.10863341391086578
292,sustained_new,5,2.8812034130096436,0.8555653095245361,0.21636801958084106,0.17452965676784515,0.10866940766572952
292,sustained_new,6,3.2746739387512207,0.8155995011329651,0.21616026759147644,0.17465414106845856,0.1087334156036377
292,sustained_new,7,3.624326705932617,0.7769262790679932,0.21619495749473572,0.1748170256614685,0.10883983969688416
292,sustained_new,8,3.935849666595459,0.7402635812759399,0.21637065708637238,0.17499946057796478,0.10899589955806732
292,shock_recovery,0,0.7361181974411011,0.9904082417488098,0.2213020771741867,0.1744285225868225,0.10927660018205643
292,shock_recovery,1,0.7028355598449707,0.9924167394638062,0.22123309969902039,0.17335745692253113,0.24974071979522705
292,shock_recovery,2,0.8185127377510071,0.9918442964553833,0.2213180661201477,0.17260275781154633,0.24854686856269836
292,shock_recovery,3,0.9781307578086853,0.9898126721382141,0.2214874029159546,0.17209573090076447,0.24748791754245758
292,shock_recovery,4,1.1386430263519287,0.986877977848053,0.22168900072574615,0.17177453637123108,0.24657000601291656
986,stable_old,1,0.40734928846359253,0.9981744885444641,0.5310534834861755,0.2012835294008255,0.2907397150993347
986,stable_old,2,0.7566853165626526,0.9934961199760437,0.5310561656951904,0.20102566480636597,0.2907474637031555
986,stable_old,3,1.0605744123458862,0.9868842363357544,0.5303600430488586,0.20074936747550964,0.29076990485191345
986,stable_old,4,1.3285142183303833,0.9789685010910034,0.5292067527770996,0.2004806101322174,0.290799617767334
986,stable_old,5,1.5676435232162476,0.9701798558235168,0.5277613401412964,0.20023371279239655,0.29083168506622314
